Id,type,label,Parent
0,Package,example,-1
1,Class,D:/LearningFile/projects/FCHE/example/avro/doc/examples/java-example/src/main/java/example/GenericMain.java,0
2,Method,D:/LearningFile/projects/FCHE/example/avro/doc/examples/java-example/src/main/java/example/GenericMain.main,1
3,Class,D:/LearningFile/projects/FCHE/example/avro/doc/examples/java-example/src/main/java/example/SpecificMain.java,0
4,Method,D:/LearningFile/projects/FCHE/example/avro/doc/examples/java-example/src/main/java/example/SpecificMain.main,3
5,Package,example,-1
6,Class,D:/LearningFile/projects/FCHE/example/avro/doc/examples/mr-example/src/main/java/example/AvroWordCount.java,5
7,Method,D:/LearningFile/projects/FCHE/example/avro/doc/examples/mr-example/src/main/java/example/AvroWordCount.run,6
8,Method,D:/LearningFile/projects/FCHE/example/avro/doc/examples/mr-example/src/main/java/example/AvroWordCount.main,6
9,Class,D:/LearningFile/projects/FCHE/example/avro/doc/examples/mr-example/src/main/java/example/GenerateData.java,5
10,Variable,D:/LearningFile/projects/FCHE/example/avro/doc/examples/mr-example/src/main/java/example/GenerateData.COLORS,9
11,Variable,D:/LearningFile/projects/FCHE/example/avro/doc/examples/mr-example/src/main/java/example/GenerateData.USERS,9
12,Variable,D:/LearningFile/projects/FCHE/example/avro/doc/examples/mr-example/src/main/java/example/GenerateData.PATH,9
13,Method,D:/LearningFile/projects/FCHE/example/avro/doc/examples/mr-example/src/main/java/example/GenerateData.main,9
14,Class,D:/LearningFile/projects/FCHE/example/avro/doc/examples/mr-example/src/main/java/example/MapredColorCount.java,5
15,Method,D:/LearningFile/projects/FCHE/example/avro/doc/examples/mr-example/src/main/java/example/MapredColorCount.run,14
16,Method,D:/LearningFile/projects/FCHE/example/avro/doc/examples/mr-example/src/main/java/example/MapredColorCount.main,14
17,Class,D:/LearningFile/projects/FCHE/example/avro/doc/examples/mr-example/src/main/java/example/MapReduceAvroWordCount.java,5
18,Method,D:/LearningFile/projects/FCHE/example/avro/doc/examples/mr-example/src/main/java/example/MapReduceAvroWordCount.run,17
19,Method,D:/LearningFile/projects/FCHE/example/avro/doc/examples/mr-example/src/main/java/example/MapReduceAvroWordCount.main,17
20,Class,D:/LearningFile/projects/FCHE/example/avro/doc/examples/mr-example/src/main/java/example/MapReduceColorCount.java,5
21,Method,D:/LearningFile/projects/FCHE/example/avro/doc/examples/mr-example/src/main/java/example/MapReduceColorCount.run,20
22,Method,D:/LearningFile/projects/FCHE/example/avro/doc/examples/mr-example/src/main/java/example/MapReduceColorCount.main,20
23,Package,avro,-1
24,Class,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/AvroMissingFieldException.java,23
25,Variable,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/AvroMissingFieldException.chainOfFields,24
26,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/AvroMissingFieldException.addParentField,24
27,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/AvroMissingFieldException.toString,24
28,Class,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/AvroRemoteException.java,23
29,Variable,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/AvroRemoteException.value,28
30,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/AvroRemoteException.getValue,28
31,Class,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/AvroRuntimeException.java,23
32,Class,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/AvroTypeException.java,23
33,Class,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/Conversion.java,23
34,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/Conversion.getConvertedType,33
35,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/Conversion.getLogicalTypeName,33
36,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/Conversion.adjustAndSetValue,33
37,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/Conversion.getRecommendedSchema,33
38,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/Conversion.fromBoolean,33
39,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/Conversion.fromInt,33
40,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/Conversion.fromLong,33
41,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/Conversion.fromFloat,33
42,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/Conversion.fromDouble,33
43,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/Conversion.fromCharSequence,33
44,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/Conversion.fromEnumSymbol,33
45,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/Conversion.fromFixed,33
46,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/Conversion.fromBytes,33
47,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/Conversion.fromArray,33
48,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/Conversion.fromMap,33
49,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/Conversion.fromRecord,33
50,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/Conversion.toBoolean,33
51,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/Conversion.toInt,33
52,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/Conversion.toLong,33
53,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/Conversion.toFloat,33
54,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/Conversion.toDouble,33
55,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/Conversion.toCharSequence,33
56,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/Conversion.toEnumSymbol,33
57,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/Conversion.toFixed,33
58,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/Conversion.toBytes,33
59,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/Conversion.toArray,33
60,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/Conversion.toMap,33
61,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/Conversion.toRecord,33
62,Class,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/Conversions.java,23
63,Method,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/Conversions.convertToLogicalType,62
64,Package,data,-1
65,Class,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/data/ErrorBuilder.java,64
66,Class,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/data/Json.java,64
67,Variable,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/data/Json.FACTORY,66
68,Variable,D:/LearningFile/projects/FCHE/example/avro/lang/java/avro/src/main/java/org/apache/avro/data/Json.MAPPER,66
