Method name,Fan-in,Number of all lines,Number of Blank lines,Lines of Code,Number of Declare lines,Number of Executable lines,Number of Comment lines,Fan-out,Number of Path,Number of Statements,Number of Declare Statements,Number of Executable Statements,Cyclomatic complexity,MaxNesting,Number of Parameters,Halstead-vocabulary,Halstead-length,Halstead-difficulty,Halstead-volume,Halstead-effort,Halstead-bugs,Number of Modified Statements,Number of Modified Expressions,Number of Modified Comments,Number of Modified Return type,Number of Modified Parameters,Number of Modified Parameters Prefix,statementModify/countStmt,Number of Modified Expressions/Total LOC,Number of Modified Comments/Total LOC,Number of Modified Parameters/Number of Parameters,Number of Changes,Added LOC,Delete LOC,Changed LOC,Added LOC/Total LOC,Deleted LOC/Total LOC,Added LOC/Deleted LOC,Changed LOC/Number of Changes,Number of Authors,bug-prone
org.apache.avro.data.Json.parseJson,5,11,0,7,1,4,4,5,2,4,1,3,2,1,1,20.0,27.0,9.0,116.69205856195879,4860.0,0.09563927122643497,4,0,0,0,0,0,1.0,0.0,0.0,0.0,1,2,2,4,0.2857142857142857,0.2857142857142857,1.0,4.0,1,not bug-prone
org.apache.avro.data.Json.write,18,56,0,53,3,48,3,24,11,41,4,37,11,2,2,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,1,0.0975609756097561,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0,0.0,0,not bug-prone
org.apache.avro.data.Json.read,11,32,0,29,3,26,3,18,12,27,7,20,13,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0.0,0,not bug-prone
org.apache.avro.data.RecordBuilderBase.validate,45,16,0,5,1,2,11,3,2,3,1,2,2,1,2,21.0,30.0,12.5,131.76952268336282,7875.0,0.13194080219760188,1,4,0,0,0,0,0.3333333333333333,0.8,0.0,0.0,1,2,1,3,0.4,0.2,2.0,3.0,1,not bug-prone
org.apache.avro.data.RecordBuilderBase.defaultValue,10,11,0,3,1,1,8,4,1,2,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,26,3,4,0,0,0,13.0,1.0,1.3333333333333333,0.0,3,13,20,33,4.333333333333333,6.666666666666667,0.65,11.0,1,bug-prone
org.apache.avro.file.BZip2Codec.compress,1,9,2,7,2,4,0,8,1,5,2,3,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.2,0.0,0.0,0.0,1,1,0,1,0.1111111111111111,0.0,0,1.0,1,bug-prone
org.apache.avro.file.BZip2Codec.equals,1,5,0,5,1,3,0,2,2,4,1,3,2,1,1,14.0,22.0,7.2,83.76180828526728,2217.6,0.05668492206910276,0,2,0,0,0,0,0.0,0.4,0.0,0.0,1,0,0,0,0.0,0.0,0,0.0,0,not bug-prone
org.apache.avro.file.Codec.getName,4,2,0,1,1,0,1,1,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0,0.0,1,not bug-prone
org.apache.avro.file.Codec.compress,4,2,0,1,1,0,1,1,0,1,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,0.0,0.0,0.0,1.0,1,0,0,0,0.0,0.0,0,0.0,1,not bug-prone
org.apache.avro.file.Codec.decompress,4,2,0,1,1,0,1,1,0,1,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,3,1,0.0,0.0,0.0,3.0,1,0,0,0,0.0,0.0,0,0.0,1,not bug-prone
org.apache.avro.file.DataFileReader.seek,11,12,0,7,1,5,5,7,1,6,1,5,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,0,0,1,1.1666666666666667,0.0,0.0,0.0,4,3,0,3,0.42857142857142855,0.0,0,0.75,2,bug-prone
